epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,564.432,2.09307,2.48717,1.81945,0.4219,0.2404,0.23333,0.12322,1.97174,1.90309,1.65655,0.00333006,0.00333006,0.00333006
2,1109.36,1.92143,2.08754,1.65851,0.37009,0.19531,0.17371,0.08624,2.14118,2.12236,1.80815,0.00653146,0.00653146,0.00653146
3,1658.5,2.06833,2.35178,1.79087,0.21857,0.11226,0.08129,0.03197,2.44004,2.80157,2.11774,0.00960086,0.00960086,0.00960086
4,2216.23,2.10328,2.44198,1.83689,0.31807,0.17023,0.14182,0.07068,2.14655,2.21844,1.89475,0.009406,0.009406,0.009406
5,2769.83,2.00538,2.28423,1.77181,0.38718,0.19793,0.17869,0.09471,2.01408,2.04944,1.77405,0.009208,0.009208,0.009208
6,3321.61,1.94501,2.18354,1.72633,0.4015,0.22329,0.21183,0.11518,1.91471,1.93197,1.70854,0.00901,0.00901,0.00901
7,3875.87,1.90565,2.11964,1.70002,0.44186,0.24452,0.23935,0.13017,1.85249,1.83277,1.64983,0.008812,0.008812,0.008812
8,4416.68,1.87164,2.05891,1.67196,0.44745,0.26645,0.2575,0.14809,1.77937,1.74552,1.59515,0.008614,0.008614,0.008614
9,4961.33,1.84002,2.01115,1.64753,0.45549,0.27282,0.26888,0.15694,1.7428,1.68765,1.56,0.008416,0.008416,0.008416
10,5518.43,1.82233,1.98178,1.63362,0.46486,0.28604,0.28481,0.16686,1.70718,1.65252,1.53595,0.008218,0.008218,0.008218
11,6083.04,1.80645,1.94973,1.6222,0.47801,0.30165,0.30022,0.17845,1.66879,1.59687,1.50868,0.00802,0.00802,0.00802
12,6641.94,1.79284,1.91845,1.60613,0.50145,0.30153,0.30783,0.18371,1.64981,1.57621,1.49532,0.007822,0.007822,0.007822
13,7199.36,1.77206,1.88616,1.59195,0.50578,0.31226,0.31675,0.19027,1.63507,1.55342,1.48077,0.007624,0.007624,0.007624
14,7741.2,1.76079,1.86465,1.58308,0.50933,0.31702,0.32558,0.19599,1.61444,1.5278,1.46636,0.007426,0.007426,0.007426
15,8283.97,1.74668,1.84565,1.57302,0.51328,0.3214,0.33019,0.19999,1.59924,1.50988,1.45614,0.007228,0.007228,0.007228
16,8840.48,1.73009,1.81437,1.55863,0.51877,0.32776,0.33448,0.20321,1.58877,1.49504,1.44898,0.00703,0.00703,0.00703
17,9393.62,1.72053,1.80089,1.5545,0.5168,0.33107,0.33771,0.20579,1.57975,1.48236,1.44196,0.006832,0.006832,0.006832
18,9944.93,1.70411,1.77711,1.54284,0.52171,0.33547,0.34079,0.20842,1.57144,1.47111,1.43613,0.006634,0.006634,0.006634
19,10499.4,1.69979,1.76344,1.53617,0.52142,0.33938,0.34358,0.21086,1.56491,1.46243,1.43116,0.006436,0.006436,0.006436
20,11038.9,1.68597,1.74573,1.52531,0.52233,0.34323,0.34609,0.21239,1.5585,1.4528,1.42609,0.006238,0.006238,0.006238
21,11590.9,1.67596,1.73215,1.51991,0.52373,0.34616,0.34897,0.21449,1.55174,1.44431,1.42103,0.00604,0.00604,0.00604
22,12177.9,1.66236,1.70665,1.51196,0.53019,0.34773,0.35225,0.21658,1.54494,1.43569,1.41621,0.005842,0.005842,0.005842
23,12735.3,1.65398,1.69525,1.50647,0.5308,0.35143,0.35432,0.21865,1.53871,1.42775,1.41174,0.005644,0.005644,0.005644
24,13287.3,1.65007,1.68852,1.50131,0.53711,0.35281,0.35742,0.22073,1.53322,1.42047,1.40785,0.005446,0.005446,0.005446
25,13839.8,1.63344,1.66626,1.49215,0.54056,0.35448,0.35989,0.22216,1.52861,1.41347,1.40441,0.005248,0.005248,0.005248
26,14380.2,1.62876,1.65387,1.48353,0.54251,0.35768,0.3628,0.22413,1.52201,1.40514,1.39939,0.00505,0.00505,0.00505
27,14921,1.6232,1.64186,1.47753,0.54426,0.35999,0.36501,0.22594,1.51561,1.39654,1.39445,0.004852,0.004852,0.004852
28,15476.6,1.61371,1.63071,1.47269,0.54787,0.36167,0.36739,0.22756,1.50964,1.38816,1.38987,0.004654,0.004654,0.004654
29,16029.2,1.59969,1.61221,1.46466,0.54839,0.36346,0.36987,0.22968,1.50403,1.38034,1.38586,0.004456,0.004456,0.004456
30,16580.5,1.5864,1.59442,1.45884,0.54874,0.36596,0.37281,0.23165,1.49853,1.37164,1.38176,0.004258,0.004258,0.004258
31,17134,1.58525,1.59061,1.45339,0.54817,0.36784,0.37537,0.23385,1.4923,1.36336,1.37718,0.00406,0.00406,0.00406
32,17674.8,1.57146,1.57047,1.44162,0.55012,0.37081,0.37826,0.23607,1.48632,1.3555,1.37258,0.003862,0.003862,0.003862
33,18214.1,1.56621,1.55803,1.43804,0.55269,0.37379,0.38141,0.23854,1.47988,1.3464,1.36768,0.003664,0.003664,0.003664
34,18767.6,1.55185,1.53903,1.42769,0.55628,0.37483,0.38415,0.24064,1.47378,1.33782,1.36287,0.003466,0.003466,0.003466
35,19319.4,1.54245,1.5242,1.42152,0.56053,0.37626,0.38707,0.24302,1.467,1.32911,1.35778,0.003268,0.003268,0.003268
36,19870.2,1.53293,1.5149,1.41694,0.56159,0.37892,0.38986,0.2451,1.46028,1.32048,1.35292,0.00307,0.00307,0.00307
37,20421.2,1.52344,1.49861,1.40997,0.56745,0.38072,0.39289,0.24759,1.45433,1.3128,1.34857,0.002872,0.002872,0.002872
38,20967,1.51305,1.48325,1.40154,0.56963,0.38294,0.39586,0.24992,1.44804,1.30471,1.34395,0.002674,0.002674,0.002674
39,21514.8,1.50034,1.46448,1.39298,0.57068,0.38432,0.39878,0.2518,1.4424,1.2978,1.33967,0.002476,0.002476,0.002476
40,22081.8,1.48689,1.45185,1.38347,0.57205,0.38651,0.40158,0.25398,1.43709,1.2912,1.33546,0.002278,0.002278,0.002278
41,22626.2,1.50203,1.37063,1.39561,0.57271,0.39015,0.40464,0.25661,1.43046,1.28339,1.33047,0.00208,0.00208,0.00208
42,23164.2,1.47804,1.34195,1.37944,0.5769,0.39165,0.4074,0.25887,1.42382,1.27579,1.3258,0.001882,0.001882,0.001882
43,23704.2,1.46388,1.32092,1.36741,0.57736,0.39407,0.41062,0.26133,1.41704,1.26816,1.32076,0.001684,0.001684,0.001684
44,24232.4,1.44684,1.29733,1.35474,0.57896,0.39716,0.41334,0.26378,1.41068,1.26081,1.31589,0.001486,0.001486,0.001486
45,24749.9,1.42749,1.27319,1.34338,0.58196,0.39806,0.41587,0.26589,1.40504,1.25402,1.31177,0.001288,0.001288,0.001288
46,25290.1,1.41028,1.25194,1.33137,0.58341,0.39985,0.4183,0.26805,1.39921,1.24734,1.30742,0.00109,0.00109,0.00109
47,25830.1,1.39842,1.23718,1.3249,0.58743,0.40097,0.42064,0.27,1.39427,1.24148,1.30351,0.000892,0.000892,0.000892
48,26372,1.38044,1.21803,1.3126,0.59331,0.40142,0.42282,0.27156,1.38964,1.23558,1.2997,0.000694,0.000694,0.000694
49,26909.1,1.36929,1.2003,1.30235,0.59386,0.40321,0.42502,0.273,1.3854,1.22991,1.2961,0.000496,0.000496,0.000496
50,27443.9,1.3522,1.18336,1.28994,0.59454,0.40635,0.42702,0.27443,1.38179,1.22437,1.29298,0.000298,0.000298,0.000298
